id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon,fuentes_a,fuentes_b,coexistencia_misma_fuente,tokens_extra_a,tokens_extra_b,perdida_multiplicidad,clasificacion_final,razon_refinada,semantic_key_a,semantic_key_b,distancia_a,distancia_b,peso_a,peso_b,modalidad_a,modalidad_b,clasificacion_phase5,razon_phase5
471,"Platform, Men (Olympic)",472,"Synchronized Platform, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""platform""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""platform"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
560,"Team All-Around, Free System, Men (Olympic)",863,"Team All-Around, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.818182,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1912', 'Summer'), ('1920', 'Summer')]",free system,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""team""], [], [], [], [""all"", ""around"", ""free"", ""system""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""team""], [], [], [], [""all"", ""around""]]",,,,,team,team,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
818,"Springboard, Men (Olympic)",837,"Synchronized Springboard, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""springboard"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
835,"100 metres Freestyle, Men (Olympic)",875,"100 metres Freestyle, Men (Intercalated)",Aquatics,Diving,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], []]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], [""intercalated""]]",100:m,100:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
869,"50 yards Freestyle, Men (Olympic)",872,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle""], [""50:yd""], [], [], []]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""50:yd""], [], [], [""4"", ""x""]]",50:yd,50:yd,,,freestyle,freestyle | relay,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
876,"400 metres Freestyle, Men (Intercalated)",883,"400 metres Freestyle, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.782609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,intercalated,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle""], [""400:m""], [], [], [""intercalated""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""freestyle""], [""400:m""], [], [], []]",400:m,400:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
1983,Diving Men's Platform,2303,Diving Men's Synchronized Platform,Aquatics,Diving,MEN,MEN,0.763636,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""platform""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""platform"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2178,Diving Men's Springboard,2384,Diving Men's Synchronized Springboard,Aquatics,Diving,MEN,MEN,0.786885,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [], [], [], [""springboard"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2918,Men's 3m Springboard,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard"", ""synchronised""]]",3:m,3:m,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2922,Men's 10m Platform,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.734694,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform"", ""synchronised""]]",10:m,10:m,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
