categoria,verificacion,esperado,actual,estado,evidencia
causa,clasificacion_principal,ROW_TERMINATOR,ROW_TERMINATOR,CONFIRMADA,"El CSV oficial usa CRLF y 04_bulk_load_staging.sql fuerza ROWTERMINATOR=0x0a; con 0x0d0a carga correctamente."
schema,stg.EVENTO,"id_evento NVARCHAR(MAX) ordinal 1; id_disciplina NVARCHAR(MAX) ordinal 2; nombre NVARCHAR(MAX) ordinal 3", "Coincide exactamente; 3/3 columnas NVARCHAR(MAX), NULL, SQL_Latin1_General_CP1_CI_AS",PASS,"staging_schema_diagnostic_20260910.csv"
schema,stg_10_tablas,66 columnas compatibles,66 columnas compatibles,PASS,"No se detectó STALE_STAGING_SCHEMA ni STAGING_COLUMN_DEFINITION"
csv,evento.csv_python_parse,3007 filas y 0 filas con !=3 columnas,"3007 filas; 0 inválidas; nombre máximo 157",PASS,"csv.reader sobre todo el archivo"
csv,evento_encoding,UTF-8 decodificable,UTF-8 decodificable,PASS,"Sin NULL bytes ni caracteres de control"
csv,evento_bom,documentado,NO,PASS,"BOM ausente en processed/evento.csv"
csv,evento_line_ending,compatible con script actual,CRLF,FAIL,"El script usa 0x0a; el archivo contiene 3008 terminadores CRLF"
csv,evento_first_row,"1,96,quoted field con coma", "1,96,\"Singles, Men (Olympic)\"",PASS,"Bytes y repr coinciden con la fila esperada"
bulk,minimal_official_file,PASS,FAIL; 0 filas; Msg 7330,FAIL,"Tabla stg.__TEST_EVENTO_BULK temporal; error del parser con evento.csv y 0x0a"
bulk,minimal_lf_file,2 filas,2 filas,PASS,"data/diagnostic/evento_minimal.csv con 0x0a y campo quoted con coma"
bulk,official_file_crlf_variant,3007 filas,3007 filas,PASS,"ROWTERMINATOR=0x0d0a en tabla temporal"
bulk,lf_file_current_variant,deporte.csv con 0x0a,65 filas,PASS,"deporte.csv es LF y carga con ROWTERMINATOR=0x0a"
bulk,mixed_line_endings_strategy,un solo terminador universal,CRLF y LF mezclados,FAIL,"Se requiere seleccionar terminador por archivo o normalizar una copia de diagnóstico sin alterar oficiales"
rollback,staging_after_failure,0 filas,0 en las 10 tablas,PASS,"La transacción global de 04_bulk_load_staging.sql revirtió la carga"
rollback,olympics_after_failure,0 filas,0 filas,PASS,"Las tablas finales fueron recreadas vacías y 06_load_final.sql no se ejecutó"
rollback,diagnostic_table,eliminada,no existe,PASS,"stg.__TEST_EVENTO_BULK y stg.__TEST_GENERIC_BULK eliminadas"
integridad,processed_sha256,10/10 MATCH,10/10 MATCH,PASS,"Comparado con processed_manifest_after_block4_apply.csv"
recomendacion,cambio_minimo,conservar CSV oficiales y comas quoted,"ROWTERMINATOR por archivo según bytes; 0x0d0a para CRLF y 0x0a para LF",PROPUESTA,"Aplicar solo en una siguiente reconstrucción controlada; no aplicado"
