componente_evento,miembros,nombres,tamano,pares_evaluados,pares_safe,pares_review,pares_conflict,pares_faltantes,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV400001,1;2091;2897,"Singles, Men (Olympic) | Tennis Men's Singles | Men's Singles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400002,2;1992;3054,"Doubles, Men (Olympic) | Tennis Men's Doubles | Men's Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400003,3;2409;3083,"Doubles, Mixed (Olympic) | Tennis Mixed Doubles | Mixed Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400004,4;2745,"Singles, Men (Olympic) | Men's Singles",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,4,"Singles, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400005,8;1956;2955,"Épée, Individual, Men (Olympic) | Fencing Men's epee, Individual | Men's Épée Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400006,24;1915;2725,"Singles, Men (Olympic) | Badminton Men's Singles | Men's Singles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400007,26;2408;2830,"Singles, Women (Olympic) | Tennis Women's Singles | Women's Singles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400008,27;2410;3075,"Doubles, Women (Olympic) | Tennis Women's Doubles | Women's Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400009,28;2363;3038,"Doubles, Women (Olympic) | Badminton Women's Doubles | Women's Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400010,29;2241;3027,"Doubles, Mixed (Olympic) | Badminton Mixed Doubles | Mixed Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
