fuente,archivo,id_original,nombre_original,id_atleta_global,tipo_match,nivel_confianza,criterio_match,score_fuzzy,estado,candidatos
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1102,Muhammad Afzal,145751,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[59132,73818]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1103,Muhammad Afzal,145752,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[59132,73818]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1275,Carlos Aguirre,145809,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[11458,52379]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1276,Carlos Aguirre,145810,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[11458,52379]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1401,Mahmoud Ahmed,145848,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[1808,108281]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1408,Mushtaq Ahmed,145851,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[19895,19896]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1409,Mushtaq Ahmed,145852,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[19895,19896]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,1806,Rashid Salih Hamad Al-Athba,145947,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[103803,115969]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,2125,Hussein Al-Sadiq,145957,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[26106,48636]"
fuente2,data/intermediate/cleaned/fuente2_athlete_events.csv,2126,Hussein Al-Sadiq,145958,DETERMINISTIC_AMBIGUOUS,,Nombre auxiliar exacto con múltiples candidatos; la evidencia contextual no produjo un candidato único.,,AMBIGUOUS,"[26106,48636]"
